T 	 K 	 ig 	 ta 	 sa 	 icg 	lr 	 
24 	 50 	 292 2 	 292 4 	 350 3 	 396 2 	 256 1 	 
24 	 100 	 1123 6 	 1114 9 	 1200 18 	 1553 6 	 818 2 	 
24 	 150 	 2206 11 	 2181 23 	 2790 58 	 2842 9 	 1611 3 	 
24 	 200 	 3449 11 	 3426 35 	 4280 102 	 4587 10 	 2296 5 	 
24 	 250 	 4861 19 	 4860 66 	 5870 161 	 6658 17 	 3140 7 	 
24 	 300 	 5540 24 	 5546 129 	 6720 195 	 7741 19 	 3582 6 	 
24 	 350 	 7267 28 	 7257 136 	 8520 285 	 10360 18 	 4558 7 	 
24 	 400 	 8157 32 	 8115 243 	 9660 349 	 11042 20 	 5160 9 	 
24 	 450 	 8534 29 	 8488 214 	 10250 381 	 11923 19 	 5483 9 	 
