p 	T 	 K 	 ig 	 ta 	 sa 	 he 	
0.1 	 3 	 100 	 1303 0 	 134 0 	 156 1 	 764 0 	 
0.2 	 3 	 100 	 4110 0 	 488 0 	 552 1 	 3026 2 	 
0.3 	 3 	 100 	 9362 1 	 1007 1 	 1105 2 	 6224 6 	 
0.4 	 3 	 100 	 19174 0 	 1698 0 	 2006 7 	 10722 14 	 
0.5 	 3 	 100 	 30914 1 	 2442 0 	 2879 12 	 15838 25 	 
0.6 	 3 	 100 	 44165 2 	 3541 1 	 4210 19 	 23352 43 	 
0.7 	 3 	 100 	 58160 2 	 4715 0 	 5434 30 	 31266 68 	 
0.8 	 3 	 100 	 72335 3 	 5961 1 	 7223 45 	 40498 100 	 
0.9 	 3 	 100 	 100195 3 	 7699 1 	 8816 63 	 50624 144 	 
1 	 3 	 100 	 118374 4 	 9114 2 	 11241 97 	 60956 192 	 
