T 	 K 	 ig 	 ta 	 sa 	 icg 	lr 	 
24 	 50 	 575 3 	 576 8 	 786 12 	 695 4 	 574 2 	 
24 	 100 	 1015 6 	 1026 11 	 1557 39 	 1210 4 	 984 3 	 
24 	 150 	 1606 7 	 1580 22 	 2811 139 	 2194 10 	 1574 5 	 
24 	 200 	 2171 7 	 2201 33 	 3912 243 	 2911 9 	 2141 5 	 
24 	 250 	 2643 10 	 2659 26 	 4845 369 	 3781 8 	 2623 7 	 
24 	 300 	 3660 9 	 3648 46 	 6642 558 	 5050 8 	 3552 8 	 
24 	 350 	 4615 22 	 4607 118 	 8229 807 	 6309 11 	 4505 9 	 
24 	 400 	 5514 19 	 5446 163 	 9843 1047 	 7788 13 	 5310 9 	 
