T 	 K 	 ig 	 ta 	 sa 	 icg 	
10 	 24 	 9 2 	 9 1 	 20 1 	 15 2 	 
15 	 24 	 12 1 	 11 1 	 30 1 	 13 3 	 
20 	 24 	 11 1 	 11 1 	 30 0 	 19 4 	 
25 	 24 	 15 3 	 15 1 	 40 1 	 17 2 	 
30 	 24 	 15 1 	 15 2 	 60 1 	 19 2 	 
35 	 24 	 15 2 	 15 4 	 60 1 	 20 2 	 
40 	 24 	 16 2 	 15 1 	 70 1 	 18 2 	 
45 	 24 	 15 2 	 15 2 	 50 1 	 21 2 	 
50 	 24 	 15 2 	 15 2 	 100 2 	 17 3 	 
