T 	 K 	 ig 	 ta 	 sa 	 icg 	lr 	 
10 	 24 	 25 1 	 25 1 	 30 0 	 31 0 	 16 1 	 
15 	 24 	 96 3 	 96 2 	 120 0 	 123 2 	 75 2 	 
20 	 24 	 261 2 	 259 2 	 310 1 	 298 2 	 221 3 	 
25 	 24 	 397 2 	 394 4 	 530 3 	 515 2 	 350 3 	 
30 	 24 	 504 2 	 505 3 	 770 4 	 679 4 	 455 3 	 
35 	 24 	 615 3 	 615 3 	 1010 6 	 844 2 	 560 3 	 
40 	 24 	 724 3 	 747 3 	 1130 4 	 923 4 	 665 2 	 
45 	 24 	 835 3 	 835 7 	 1270 7 	 1255 2 	 770 2 	 
50 	 24 	 944 3 	 944 3 	 1400 7 	 1638 3 	 875 3 	 
