T 	 K 	 ig 	 ta 	 sa 	 he 	
10 	 100 	 68 2 	 68 3 	 150 2 	 1143 3 	 
15 	 100 	 364 11 	 292 12 	 1130 17 	 6118 22 	 
20 	 100 	 740 21 	 479 20 	 2135 42 	 7885 37 	 
25 	 100 	 1132 23 	 722 31 	 2840 57 	 8456 39 	 
30 	 100 	 1405 21 	 892 43 	 3290 63 	 8914 42 	 
35 	 100 	 1643 23 	 1100 56 	 3760 79 	 9248 43 	 
40 	 100 	 1632 17 	 1213 55 	 3935 77 	 9535 34 	 
45 	 100 	 1778 22 	 1278 117 	 4275 90 	 9985 43 	 
50 	 100 	 1902 18 	 1558 179 	 4400 96 	 9865 41 	 
